VENDOR,30d Pos %,30d Neu %,30d Neg %,30d Count,90d Pos %,90d Neu %,90d Neg %,90d Count,365d Pos %,365d Neu %,365d Neg %,365d Count,Li Pos %,Li Neu %,Li Neg %,Li Count,TOTAL PRODUCT
,,,,,,,,,,,,,,,,,
SanDisk Ultra MicroSDHC 16GB UHS-I Class 10 Memory Card (SDSQUNB-016G-GN3MN),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tele care,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,26
manoj kumar goyal,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,2
Pritam Studio,40,0,60,5,40,0,60,5,40,0,60,5,40,0,60,5,16
Jolly digitals,100,0,0,2,75,0,25,4,80,10,10,10,80,10,10,10,29
GARG SHOPPING CENTRE,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,
Digital NKA,-,-,-,0,67,0,33,3,67,0,33,3,67,0,33,3,33
PSR Retails,50,50,0,2,25,25,50,4,20,20,60,5,20,20,60,5,
Karamchand Studio,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Nikon Coolpix L31 16.1MP Point And Shoot Digital Camera (Black) with 5x Optical Zoom,8GB Memory card and case,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mumbai Gadgets,82,6,13,141,83,6,11,367,87,5,8,1142,88,5,7,1417,348
MADHUKAR PHOTO STUDIO,-,-,-,0,100,0,0,1,40,0,60,5,38,8,54,13,26
Tecki-Home,89,4,6,245,89,4,7,779,92,4,4,3189,92,5,3,7894,223
Zoomin Camera Store,91,5,4,79,96,2,2,254,98,1,1,1505,96,2,2,4845,70
manoj kumar goyal,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,2
Jolly digitals,100,0,0,2,75,0,25,4,80,10,10,10,80,10,10,10,29
AHUJA ENTERPRISES,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,2
Rhino Retail,67,3,31,36,79,3,18,61,85,2,13,94,85,2,13,94,24
Digital World Kota,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,2
Digital camerashop,73,14,14,37,82,9,9,114,89,6,5,357,88,6,5,568,381
